county,batch,page_type,url,external,notes,verify_status,http_status,final_url,audit_confidence,audit_reason,flag_for_review
Henderson,2,voter_registration,https://www.henderson-county.com/221/Elections-Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.henderson-county.com/221/Elections-Voter-Registration,,,
Hidalgo,1,voter_registration,https://www.hidalgocounty.us/m/faq?cat=46,false,"found via ""When can I register to Vote?"" score=9 (weak match — review) [after 1 rejected]",ok,200,https://www.hidalgocounty.us/m/faq?cat=46#question-197,,,weak-score
Hill,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hockley,2,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hood,2,voter_registration,https://hoodcounty.texas.gov/departments/elections_administration/voter_registration.php,false,"found via ""Voter Registration"" score=32 [after 1 rejected]",ok,200,https://hoodcounty.texas.gov/departments/elections_administration/voter_registration.php,,,
Hopkins,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Houston,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Howard,3,voter_registration,https://www.co.howard.tx.us/1242/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.howard.tx.us/1242/Voter-Registration,,,
Hudspeth,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Hunt,3,voter_registration,https://www.huntcounty.net/page/electionreginfo,false,"found via ""Voter Registration Information"" score=32",ok,200,https://www.huntcounty.net/page/electionreginfo,,,
Hutchinson,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Irion,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Jack,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Jackson,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Jasper,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Jeff Davis,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Jefferson,3,voter_registration,https://www.jeffcotxvotes.gov/voter-registration/voter-registration/ways-to-submit-your-voter-registration-application/,true,"found via ""Voter Registration Application"" score=41",ok,200,https://www.jeffcotxvotes.gov/voter-registration/voter-registration/ways-to-submit-your-voter-registration-application/,,,
Jim Hogg,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Jim Wells,3,voter_registration,,false,GAP: folded into the elections page,gap,,,,,
Johnson,3,voter_registration,https://www.johnsoncountytx.org/departments/elections-office/register-to-vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.johnsoncountytx.org/departments/elections-office/register-to-vote,,,
Jones,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Karnes,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Kaufman,3,voter_registration,https://www.kaufmancounty.net/238/REGISTER-TO-VOTE,false,"found via ""REGISTER TO VOTE"" score=31",ok,200,https://www.kaufmancounty.net/238/REGISTER-TO-VOTE,,,
Kendall,3,voter_registration,https://www.kendallcountytx.gov/232/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.kendallcountytx.gov/232/Voter-Registration,,,
Kenedy,1,voter_registration,https://kenedycountyelections.com/register-to-vote/,true,"found via ""Register to Vote or Update your Voter Re"" score=37",ok,200,https://kenedycountyelections.com/register-to-vote/,,,
Kent,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Kerr,1,voter_registration,https://kerrcountytx.gov/voting-in-kerr-county/kerr-county-voter-registration-and-information,false,"found via ""See More Information >>"" score=10 (weak match — review)",ok,200,https://kerrcountytx.gov/voting-in-kerr-county/kerr-county-voter-registration-and-information,,,weak-score
Kimble,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
King,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Kinney,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Kleberg,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Knox,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
La Salle,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Lamar,3,voter_registration,,false,GAP: no reachable HTML registration page (Voter-Registration-Certificate -> application/pdf),gap,,,,,
Lamb,3,voter_registration,https://www.co.lamb.tx.us/page/ElectionsHome,false,"found via ""Register to Vote"" score=31",ok,200,https://www.co.lamb.tx.us/page/ElectionsHome,,,
Lampasas,3,voter_registration,https://www.co.lampasas.tx.us/page/Voter%20Registration,false,"found via ""How Do I Register to Vote?"" score=29",ok,200,https://www.co.lampasas.tx.us/page/Voter%20Registration,,,
Lavaca,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Lee,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Leon,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Liberty,3,voter_registration,https://www.co.liberty.tx.us/page/liberty.elections.register,false,"found via ""REGISTER TO VOTE"" score=31",ok,200,https://www.co.liberty.tx.us/page/liberty.elections.register,,,
Limestone,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Lipscomb,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Live Oak,3,voter_registration,https://www.co.live-oak.tx.us/page/liveoak.Voter.Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.live-oak.tx.us/page/liveoak.Voter.Registration,,,
Llano,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Loving,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Lubbock,1,voter_registration,https://votelubbock.gov/voting-information/register-to-vote/,true,"found via ""Register To Vote"" score=29",ok,200,https://votelubbock.gov/voting-information/register-to-vote/,,,
Lynn,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Madison,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Marion,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Martin,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Mason,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Matagorda,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Maverick,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
McCulloch,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
McLennan,3,voter_registration,https://www.mclennan.gov/384/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.mclennan.gov/384/Voter-Registration,,,
McMullen,3,voter_registration,,false,GAP: could not crawl — homepage blocked/unreachable (HTTP 403),gap,,,,,
Medina,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Menard,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Midland,3,voter_registration,https://votemidlandtx.gov/voter-information/voter-registration-sites/,true,"found via ""Voter Registration Sites"" score=18",ok,200,https://votemidlandtx.gov/voter-information/voter-registration-sites/,,,
Milam,3,voter_registration,https://www.milamcounty.net/departments/elections_and_voter_registrar/register_to_vote_here.php,false,"found via ""Register to Vote Here"" score=25 [after 1 rejected]",ok,200,https://www.milamcounty.net/departments/elections_and_voter_registrar/register_to_vote_here.php,,,
Mills,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Mitchell,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Montague,3,voter_registration,https://www.co.montague.tx.us/page/montague.RegistertoVote,false,"found via ""Register To Vote"" score=31",ok,200,https://www.co.montague.tx.us/page/montague.RegistertoVote,,,
Montgomery,3,voter_registration,https://elections.mctx.org/vapp.asp,false,"found via ""Register to Vote"" score=31",ok,200,https://elections.mctx.org/vapp.asp,,,
Moore,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Morris,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Motley,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Nacogdoches,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Navarro,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Newton,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Nolan,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Nueces,3,voter_registration,https://www.nuecesco.com/county-services/tax-assessor-collector/voter-registration/register-to-vote,false,"found via ""Register To Vote"" score=41",ok,200,https://www.nuecesco.com/county-services/tax-assessor-collector/voter-registration/register-to-vote,,,
Ochiltree,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Oldham,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Orange,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Palo Pinto,3,voter_registration,,false,GAP: no reachable HTML registration page (Elections.VR -> 403),gap,,,,,
Panola,3,voter_registration,,false,GAP: no reachable HTML registration page (Voter-Registration-Application -> application/pdf),gap,,,,,
Parker,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Parmer,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Pecos,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Polk,3,voter_registration,https://www.polktx.gov/386/Voter-Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.polktx.gov/386/Voter-Registration,,,
Potter,3,voter_registration,https://www.pottercountytexasvotes.gov/register-to-vote,true,"found via ""Voter Registration Information"" score=39",ok,200,https://www.pottercountytexasvotes.gov/register-to-vote,,,
Presidio,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Rains,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Randall,3,voter_registration,https://www.randallcounty.gov/173/Register-to-Vote,false,"found via ""Register to Vote"" score=31",ok,200,https://www.randallcounty.gov/173/Register-to-Vote,,,
Reagan,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Real,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Red River,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Reeves,3,voter_registration,https://www.reevescounty.org/departments/elections/voter-registration,false,"found via ""REGISTER TO VOTE"" score=41",ok,200,https://www.reevescounty.org/departments/elections/voter-registration,,,
Refugio,3,voter_registration,https://www.co.refugio.tx.us/page/refugio.Elections.VoterReg,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.refugio.tx.us/page/refugio.Elections.VoterReg,,,
Roberts,1,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Robertson,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Rockwall,3,voter_registration,https://www.rockwallvotes.com/voter-information/voter-registration/,true,"found via ""Voter Registration"" score=30",ok,200,https://www.rockwallvotes.com/voter-information/voter-registration/,,,
Runnels,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Rusk,3,voter_registration,https://www.ruskcountytx.gov/page/Elections,false,"found via ""Register to Vote"" score=31",ok,200,https://www.ruskcountytx.gov/page/Elections,,,
Sabine,3,voter_registration,https://www.co.sabine.tx.us/page/sabine.Elections%20Voter%20Registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.sabine.tx.us/page/sabine.Elections%20Voter%20Registration,,,
San Augustine,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
San Jacinto,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
San Patricio,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
San Saba,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Schleicher,3,voter_registration,,false,GAP: no reachable HTML registration page (Renew -> another county's site),gap,,,,,
Scurry,3,voter_registration,https://www.co.scurry.tx.us/page/elections.voter.registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.scurry.tx.us/page/elections.voter.registration,,,
Shackelford,3,voter_registration,https://www.shackelfordcounty.org/page/shackelford.Tax.Assessor,false,"found via ""Register to Vote Information"" score=19",ok,200,https://www.shackelfordcounty.org/page/shackelford.Tax.Assessor,,,
Shelby,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Sherman,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Smith,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Somervell,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Starr,3,voter_registration,,false,GAP: no reachable HTML registration page (Registration -> another county's site; Registration -> another county's site; OnlineRegistration -> another county's site),gap,,,,,
Stephens,3,voter_registration,,false,GAP: no reachable HTML registration page (?id=112282 -> page not about registering voters),gap,,,,,
Sterling,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Stonewall,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Sutton,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Swisher,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Tarrant,1,voter_registration,https://www.tarrantcountytx.gov/en/elections/register-to-vote.html,false,"found via ""Register to Vote"" score=31",ok,200,https://www.tarrantcountytx.gov/en/elections/register-to-vote.html,,,
Taylor,3,voter_registration,https://taylorcounty.texas.gov/213/Registering-to-Vote,false,"found via ""Registering to Vote"" score=17",ok,200,https://taylorcounty.texas.gov/213/Registering-to-Vote,,,
Terrell,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Terry,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Throckmorton,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Titus,3,voter_registration,https://www.co.titus.tx.us/page/elections.voterregistration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.co.titus.tx.us/page/elections.voterregistration,,,
Tom Green,3,voter_registration,https://www.tomgreencountytx.gov/page/ele.VoterRegistration,false,"found via ""Voter Registration/Registro de Electores"" score=20",ok,200,https://www.tomgreencountytx.gov/page/ele.VoterRegistration,,,
Travis,1,voter_registration,https://tax-office.traviscountytx.gov/voters,false,"found via ""Voter Registration"" score=32",ok,200,https://tax-office.traviscountytx.gov/voters,,,
Trinity,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Tyler,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Upshur,3,voter_registration,https://www.countyofupshur.com/page/voter_registration,false,"found via ""Register to Vote"" score=41",ok,200,https://www.countyofupshur.com/page/voter_registration,,,
Upton,3,voter_registration,,false,GAP: no reachable HTML registration page (HjbtNLKrZw4dwJkF6 -> page not about registering voters; txdmv.gov -> another county's site),gap,,,,,
Uvalde,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Val Verde,3,voter_registration,,false,GAP: no distinct voter-registration page found,gap,,,,,
Van Zandt,3,voter_registration,,false,GAP: no reachable HTML registration page (Elections-Voter-Registration -> another county's site; elections-voter-registration -> 404; vanzandt.AccPayableRegister -> page not about registering voters),gap,,,,,
Victoria,3,voter_registration,https://www.vctx.org/page/elections.registration,false,"found via ""Voter Registration"" score=32",ok,200,https://www.vctx.org/page/elections.registration,,,
