county,seat,homepage,confidence,evidence,flag_for_review
Karnes,Karnes City,https://www.co.karnes.tx.us/,confident,"'Karnes' in page; seat 'Karnes City' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Kaufman,Kaufman,,unresolved,no candidate pattern verified — needs web search,yes
Kendall,Boerne,https://www.kendallcountytx.gov/,confident,"'Kendall' in page; seat 'Boerne' in page; Texas/TX present; official TLD (kendallcountytx.gov); gov signals: commissioner's court, county judge, county clerk",
Kent,Jayton,https://www.co.kent.tx.us/,confident,"'Kent' in page; seat 'Jayton' in page; Texas/TX present; official TLD (tx.us); gov signals: county judge, county clerk, district clerk",
Kimble,Junction,https://www.co.kimble.tx.us/,confident,"'Kimble' in page; seat 'Junction' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Kinney,Brackettville,https://www.co.kinney.tx.us/,confident,"'Kinney' in page; seat 'Brackettville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Kleberg,Kingsville,https://www.co.kleberg.tx.us/,confident,"'Kleberg' in page; seat 'Kingsville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Knox,Benjamin,,unresolved,no candidate pattern verified — needs web search,yes
Lamar,Paris,https://www.lamarcountytx.gov,confident,'Lamar' in page; seat 'Paris' in page; Texas/TX present; official TLD (lamarcountytx.gov); gov signals: courthouse,
Lamb,Littlefield,https://www.co.lamb.tx.us/,confident,"'Lamb' in page; seat 'Littlefield' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Lampasas,Lampasas,https://www.co.lampasas.tx.us/,confident,"'Lampasas' in page; seat 'Lampasas' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
La Salle,Cotulla,https://www.co.la-salle.tx.us/,confident,"'La Salle' in page; seat 'Cotulla' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Lavaca,Hallettsville,https://www.co.lavaca.tx.us/,confident,"'Lavaca' in page; seat 'Hallettsville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Lee,Giddings,https://www.co.lee.tx.us/,confident,"'Lee' in page; seat 'Giddings' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Leon,Centerville,https://www.co.leon.tx.us/,confident,"'Leon' in page; seat 'Centerville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Liberty,Liberty,https://www.co.liberty.tx.us/,confident,"corrected: libertycounty.org is the county TOURISM site; this is the county government (commissioners court, JPs, courthouse Liberty TX)",
Limestone,Groesbeck,https://www.co.limestone.tx.us/,confident,"'Limestone' in page; seat 'Groesbeck' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Lipscomb,Lipscomb,https://www.co.lipscomb.tx.us/,confident,"'Lipscomb' in page; seat 'Lipscomb' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Live Oak,George West,https://www.co.live-oak.tx.us/,confident,"'Live Oak' in page; seat 'George West' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Lynn,Tahoka,https://www.co.lynn.tx.us/,confident,"'Lynn' in page; seat 'Tahoka' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Madison,Madisonville,https://www.co.madison.tx.us/,confident,"'Madison' in page; seat 'Madisonville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Marion,Jefferson,https://www.co.marion.tx.us/,confident,"'Marion' in page; seat 'Jefferson' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Martin,Stanton,https://www.martincountytx.com/,confident,"verified: sparse CivicPlus homepage but /Directory.aspx lists commissioners court, clerks, sheriff, elections (Stanton TX)",
Mason,Mason,https://www.co.mason.tx.us/,confident,"'Mason' in page; seat 'Mason' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Matagorda,Bay City,https://www.matagordatx.gov/,confident,"'Matagorda' in page; seat 'Bay City' in page; Texas/TX present; official TLD (matagordatx.gov); gov signals: commissioners court, county judge, county clerk",
Maverick,Eagle Pass,https://co.maverick.tx.us/,confident,"'Maverick' in page; seat 'Eagle Pass' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county clerk, sheriff",
McCulloch,Brady,https://www.co.mcculloch.tx.us/,confident,"'McCulloch' in page; seat 'Brady' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
McLennan,Waco,https://www.mclennan.gov/,confident,"'McLennan' in page; seat 'Waco' in page; Texas/TX present; official TLD (mclennan.gov); gov signals: commissioners court, county judge, district clerk",
McMullen,Tilden,https://mcmullencounty.org/,confident,"'McMullen' in page; seat 'Tilden' in page; Texas/TX present; gov signals: commissioners court, commissioner's court, county judge",
Menard,Menard,https://www.co.menard.tx.us/,confident,"'Menard' in page; seat 'Menard' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Midland,Midland,https://www.co.midland.tx.us/,confident,"'Midland' in page; seat 'Midland' in page; Texas/TX present; official TLD (tx.us); gov signals: courthouse, commissioners' court, precinct",
Milam,Cameron,,unresolved,no candidate pattern verified — needs web search,yes
Mills,Goldthwaite,https://www.millscountytx.gov,confident,"'Mills' in page; seat 'Goldthwaite' in page; Texas/TX present; official TLD (millscountytx.gov); gov signals: commissioners court, county judge, county clerk",
Mitchell,Colorado City,https://www.co.mitchell.tx.us/,confident,"'Mitchell' in page; seat 'Colorado City' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Montague,Montague,https://www.co.montague.tx.us/,confident,"'Montague' in page; seat 'Montague' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioner's court, county judge, county clerk",
Montgomery,Conroe,,unresolved,no candidate pattern verified — needs web search,yes
Moore,Dumas,https://www.co.moore.tx.us/,confident,"'Moore' in page; seat 'Dumas' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Morris,Daingerfield,https://www.co.morris.tx.us/,confident,"'Morris' in page; seat 'Daingerfield' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Motley,Matador,https://www.co.motley.tx.us/,confident,"'Motley' in page; seat 'Matador' in page; Texas/TX present; official TLD (tx.us); gov signals: county judge, county clerk, district clerk",
Nacogdoches,Nacogdoches,,unresolved,no candidate pattern verified — needs web search,yes
Navarro,Corsicana,https://www.co.navarro.tx.us/,confident,"'Navarro' in page; seat 'Corsicana' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Newton,Newton,https://www.co.newton.tx.us/,confident,"'Newton' in page; seat 'Newton' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Nolan,Sweetwater,https://www.co.nolan.tx.us/,confident,"'Nolan' in page; seat 'Sweetwater' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Nueces,Corpus Christi,,unresolved,no candidate pattern verified — needs web search,yes
Ochiltree,Perryton,https://www.co.ochiltree.tx.us/,confident,"'Ochiltree' in page; seat 'Perryton' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Oldham,Vega,https://www.co.oldham.tx.us/,confident,"'Oldham' in page; seat 'Vega' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Orange,Orange,https://www.co.orange.tx.us/,confident,'Orange' in page; seat 'Orange' in page; Texas/TX present; official TLD (tx.us),
Palo Pinto,Palo Pinto,https://www.co.palo-pinto.tx.us/,confident,"'Palo Pinto' in page; seat 'Palo Pinto' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Panola,Carthage,https://www.co.panola.tx.us/,confident,'Panola' in page; seat 'Carthage' in page; Texas/TX present; official TLD (tx.us); gov signals: courthouse,
Parker,Weatherford,https://www.parkercountytx.gov/,confident,"'Parker' in page; seat 'Weatherford' in page; Texas/TX present; official TLD (parkercountytx.gov); gov signals: commissioners court, courthouse",
Parmer,Farwell,https://parmercounty.texas.gov/,confident,"'Parmer' in page; seat 'Farwell' in page; Texas/TX present; official TLD (texas.gov); gov signals: county judge, county clerk, district clerk",
Pecos,Fort Stockton,https://www.co.pecos.tx.us/,confident,"'Pecos' in page; seat 'Fort Stockton' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county clerk, courthouse",
Polk,Livingston,https://www.polktx.gov/,confident,corrected: polkcountytx.com is a private listing directory; this is the county government .gov (Livingston TX),
Potter,Amarillo,https://www.co.potter.tx.us/,confident,"'Potter' in page; seat 'Amarillo' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Rains,Emory,https://www.co.rains.tx.us/,confident,"'Rains' in page; seat 'Emory' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Randall,Canyon,https://www.randallcounty.gov/,confident,"'Randall' in page; seat 'Canyon' in page; Texas/TX present; official TLD (randallcounty.gov); gov signals: commissioners court, county judge",
Reagan,Big Lake,https://www.co.reagan.tx.us/,confident,"'Reagan' in page; seat 'Big Lake' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, district clerk",
Real,Leakey,https://www.co.real.tx.us/,confident,"'Real' in page; seat 'Leakey' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Red River,Clarksville,https://www.co.red-river.tx.us/,confident,"'Red River' in page; seat 'Clarksville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Reeves,Pecos,,unresolved,no candidate pattern verified — needs web search,yes
Refugio,Refugio,https://www.co.refugio.tx.us/,confident,"'Refugio' in page; seat 'Refugio' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Robertson,Franklin,https://www.co.robertson.tx.us/,confident,"'Robertson' in page; seat 'Franklin' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Rockwall,Rockwall,,unresolved,no candidate pattern verified — needs web search,yes
Runnels,Ballinger,https://www.runnelscounty.org/,confident,"'Runnels' in page; seat 'Ballinger' in page; Texas/TX present; gov signals: commissioner's court, county judge, county clerk",
Rusk,Henderson,https://www.ruskcountytx.gov/,confident,"'Rusk' in page; seat 'Henderson' in page; Texas/TX present; official TLD (ruskcountytx.gov); gov signals: commissioners court, county judge, county clerk",
Sabine,Hemphill,https://www.co.sabine.tx.us/,confident,"'Sabine' in page; seat 'Hemphill' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
San Augustine,San Augustine,https://www.co.san-augustine.tx.us/,confident,"'San Augustine' in page; seat 'San Augustine' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioner's court, county judge, county clerk",
San Jacinto,Coldspring,https://www.co.san-jacinto.tx.us/,confident,"'San Jacinto' in page; seat 'Coldspring' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
San Patricio,Sinton,https://www.sanpatriciocountytx.gov,confident,"'San Patricio' in page; seat 'Sinton' in page; Texas/TX present; official TLD (sanpatriciocountytx.gov); gov signals: commissioners court, county judge, county clerk",
San Saba,San Saba,https://www.co.san-saba.tx.us/,confident,"'San Saba' in page; seat 'San Saba' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Schleicher,Eldorado,https://www.schleichercounty.gov/,confident,"'Schleicher' in page; seat 'Eldorado' in page; Texas/TX present; official TLD (schleichercounty.gov); gov signals: commissioners court, county judge, county clerk",
Scurry,Snyder,https://www.co.scurry.tx.us/,confident,"'Scurry' in page; seat 'Snyder' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Shackelford,Albany,,unresolved,no candidate pattern verified — needs web search,yes
Shelby,Center,https://www.co.shelby.tx.us/,confident,"'Shelby' in page; seat 'Center' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Sherman,Stratford,https://www.shermancountytx.gov,confident,"'Sherman' in page; seat 'Stratford' in page; Texas/TX present; official TLD (shermancountytx.gov); gov signals: commissioners court, county judge, county clerk",
Smith,Tyler,,unresolved,no candidate pattern verified — needs web search,yes
Somervell,Glen Rose,,unresolved,no candidate pattern verified — needs web search,yes
Starr,Rio Grande City,https://www.co.starr.tx.us/,confident,"'Starr' in page; seat 'Rio Grande City' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Stephens,Breckenridge,https://www.co.stephens.tx.us/,confident,"'Stephens' in page; seat 'Breckenridge' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Sterling,Sterling City,https://www.sterlingcotx.gov,confident,"'Sterling' in page; seat 'Sterling City' in page; Texas/TX present; official TLD (sterlingcotx.gov); gov signals: commissioners court, county judge, county clerk",
Stonewall,Aspermont,https://www.stonewallcounty.org/,confident,"'Stonewall' in page; seat 'Aspermont' in page; Texas/TX present; gov signals: county judge, county clerk, district clerk",
Sutton,Sonora,https://www.co.sutton.tx.us/,confident,"'Sutton' in page; seat 'Sonora' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Swisher,Tulia,https://www.co.swisher.tx.us/,confident,"'Swisher' in page; seat 'Tulia' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Taylor,Abilene,https://taylorcounty.texas.gov/,confident,'Taylor' in page; seat 'Abilene' in page; Texas/TX present; official TLD (texas.gov); gov signals: courthouse,
Terrell,Sanderson,https://www.co.terrell.tx.us/,confident,"'Terrell' in page; seat 'Sanderson' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Terry,Brownfield,https://www.co.terry.tx.us/,confident,"'Terry' in page; seat 'Brownfield' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Throckmorton,Throckmorton,https://www.throckmortoncounty.org/,confident,"'Throckmorton' in page; seat 'Throckmorton' in page; Texas/TX present; gov signals: commissioner's court, county judge, county clerk",
Titus,Mount Pleasant,https://www.co.titus.tx.us/,confident,"'Titus' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Tom Green,San Angelo,https://www.tomgreencountytx.gov/,confident,"'Tom Green' in page; seat 'San Angelo' in page; Texas/TX present; official TLD (tomgreencountytx.gov); gov signals: commissioners court, county judge, county clerk",
Trinity,Groveton,https://www.co.trinity.tx.us/,confident,"'Trinity' in page; seat 'Groveton' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Tyler,Woodville,https://www.co.tyler.tx.us/,confident,"'Tyler' in page; seat 'Woodville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Upshur,Gilmer,,unresolved,no candidate pattern verified — needs web search,yes
Upton,Rankin,https://www.co.upton.tx.us/,confident,"'Upton' in page; seat 'Rankin' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, district clerk",
Uvalde,Uvalde,https://www.uvaldecounty.gov/,confident,'Uvalde' in page; seat 'Uvalde' in page; Texas/TX present; official TLD (uvaldecounty.gov); gov signals: courthouse,
Val Verde,Del Rio,https://valverdecounty.texas.gov/,confident,"'Val Verde' in page; seat 'Del Rio' in page; Texas/TX present; official TLD (texas.gov); gov signals: commissioners court, county judge, county clerk",
Van Zandt,Canton,https://www.vanzandtcounty.org/,confident,"'Van Zandt' in page; seat 'Canton' in page; Texas/TX present; gov signals: commissioners court, county judge, county clerk",
Victoria,Victoria,https://www.vctx.org,confident,"'Victoria' in page; seat 'Victoria' in page; Texas/TX present; gov signals: commissioners court, county judge, county clerk",
Walker,Huntsville,https://www.co.walker.tx.us/,confident,"'Walker' in page; seat 'Huntsville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, courthouse",
Waller,Hempstead,https://www.co.waller.tx.us/,confident,"'Waller' in page; seat 'Hempstead' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Ward,Monahans,https://www.co.ward.tx.us/,confident,"'Ward' in page; seat 'Monahans' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Washington,Brenham,https://www.co.washington.tx.us/,confident,"'Washington' in page; seat 'Brenham' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Wharton,Wharton,https://www.co.wharton.tx.us/,confident,"'Wharton' in page; seat 'Wharton' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Wheeler,Wheeler,https://www.wheelercounty.texas.gov,confident,"'Wheeler' in page; seat 'Wheeler' in page; Texas/TX present; official TLD (texas.gov); gov signals: commissioners court, county judge, county clerk",
Wichita,Wichita Falls,https://wichitacountytx.com/,confident,"'Wichita' in page; seat 'Wichita Falls' in page; Texas/TX present; gov signals: commissioners court, commissioner's court, county judge",
Wilbarger,Vernon,https://www.co.wilbarger.tx.us/,confident,"'Wilbarger' in page; seat 'Vernon' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Willacy,Raymondville,https://www.co.willacy.tx.us/,confident,"'Willacy' in page; seat 'Raymondville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Wilson,Floresville,https://www.co.wilson.tx.us/,confident,"'Wilson' in page; seat 'Floresville' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, commissioner's court, county judge",
Winkler,Kermit,https://www.co.winkler.tx.us/,confident,'Winkler' in page; seat 'Kermit' in page; Texas/TX present; official TLD (tx.us); gov signals: courthouse,
Wise,Decatur,https://www.co.wise.tx.us/,confident,"'Wise' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, justice of the peace, precinct",
Wood,Quitman,https://www.mywoodcounty.com/,confident,corrected: woodcountytx.com is the Economic Development Commission; this is the county government (Quitman TX),
Yoakum,Plains,https://www.yoakumcounty.gov/,confident,"'Yoakum' in page; seat 'Plains' in page; Texas/TX present; official TLD (yoakumcounty.gov); gov signals: commissioners court, commissioner's court, county judge",
Young,Graham,https://www.co.young.tx.us/,confident,"'Young' in page; seat 'Graham' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Zapata,Zapata,https://www.co.zapata.tx.us/,confident,"'Zapata' in page; seat 'Zapata' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
Zavala,Crystal City,https://www.co.zavala.tx.us/,confident,"'Zavala' in page; seat 'Crystal City' in page; Texas/TX present; official TLD (tx.us); gov signals: commissioners court, county judge, county clerk",
