county,platform,evidence,evidence_kind,services,note,has_generator,html_bytes
harrison,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52737
hartley,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,27172
haskell,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20263
hays,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,78398
hemphill,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25050
henderson,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,75294
hidalgo,Other / unknown,,,Google Translate,,no,67140
hill,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,64670
hockley,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52957
hood,Revize,"<meta content=""//cms3.revize.com/revize/hoodcounty/_asse",builder credit,,,no,42349
hopkins,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,31105
houston,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42814
howard,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,51319
hudspeth,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,49556
hunt,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies; Google Translate,,no,57758
hutchinson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,34481
irion,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,51916
jack,Drupal,Drupal 11 (https://www.drupal.org),meta generator,Google Translate,,yes,50359
jackson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52925
jasper,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36084
jeff_davis,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28596
jefferson,Other / unknown,,,Tyler Technologies,,no,31929
jim_hogg,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36056
jim_wells,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,70768
johnson,Granicus / Vision,"<a href=""https://granicus.com/government-website-desi",builder credit,Granicus services,,no,82206
jones,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,ENR / results portal,,no,27276
karnes,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,Tyler Technologies,,no,46523
kaufman,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,72714
kendall,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,54884
kenedy,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21469
kent,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21105
kerr,Other / unknown,,,,,no,51897
kimble,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,46232
king,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,83401
kinney,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,43527
kleberg,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42968
knox,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21069
la_salle,Joomla,option=com_content&view=article&id=269,same-host path,,,no,94666
lamar,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,54742
lamb,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24832
lampasas,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,30117
lavaca,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,32341
lee,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,31048
leon,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,56306
liberty,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,77421
limestone,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,38269
lipscomb,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23911
live_oak,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,80967
llano,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,42022
loving,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,18634
lubbock,Other / unknown,,,,,no,12706
lynn,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,29346
madison,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32338
marion,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,41667
martin,CivicPlus,powered by civicplus®,builder credit,Google Translate,,no,63810
mason,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,34133
matagorda,ezTask Titanium (TAC),tf-8&amp;u=http%3a%2f%2fwww.eztask.com%2f&amp;edit-text=&amp;a,builder credit,Google Translate,,no,59678
maverick,Other / unknown,,,,,no,74823
mcculloch,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,69428
mclennan,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,102779
mcmullen,WordPress,https://mcmullencounty.org/wp-content/uploads/2023/09/microsoftteams-i,same-host path,,,yes,209829
medina,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52988
menard,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21990
midland,Other / unknown,,,,,no,89697
milam,Revize,"<meta content=""//cms2.revize.com/revize//milamcountytx/_",builder credit,,,no,64315
mills,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,48729
mitchell,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,36330
montague,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,Tyler Technologies; ENR / results portal,,no,42988
montgomery,Revize,"pan class=""v06-11-2011"" id=""revize-login"">",builder credit,Google Translate,,no,70204
moore,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,Google Translate,,no,25487
morris,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,43871
motley,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,19767
nacogdoches,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,18606
navarro,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,55166
newton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,71393
nolan,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20900
nueces,Granicus / Vision,"<a href=""https://granicus.com/government-website-desi",builder credit,Granicus services,,no,100452
ochiltree,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,17133
oldham,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,43585
orange,EvoGov,Evo Cloud - www.evo.cloud,meta generator,,,yes,40318
palo_pinto,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,29497
panola,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,50774
parker,CivicPlus,government websites by civicplus® </a>,builder credit,Tyler Technologies,,no,57252
parmer,WordPress,https://parmercounty.texas.gov/wp-content/uploads/2017/08/parmer-count,same-host path,,,yes,34061
pecos,WordPress,https://www.co.pecos.tx.us/wp-content/uploads/2019/10/pc_header2.jpg,same-host path,,,no,36379
polk,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58465
potter,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,50698
presidio,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28349
rains,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,29093
randall,CivicPlus,civicplus® </a>,builder credit,,,no,51557
reagan,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,19250
real,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,30272
red_river,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20740
reeves,Granicus / Vision,"<a href=""//www.granicus.com/"">",builder credit,Granicus services,,no,54142
refugio,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,ENR / results portal,,no,33834
roberts,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,26186
robertson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,50185
rockwall,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,60631
runnels,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36549
rusk,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,74649
sabine,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,59486
san_augustine,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25523
san_jacinto,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,51312
san_patricio,ezTask Titanium (TAC),"<a href=""https://www.eztask.com"" target=""_blank"">",builder credit,Google Translate,,no,64026
san_saba,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24567
schleicher,ezTask Titanium (TAC),tf-8&amp;u=http%3a%2f%2fwww.eztask.com%2f&amp;edit-text=&amp;a,builder credit,Google Translate,,no,43946
scurry,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,41547
shackelford,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39083
shelby,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,26999
sherman,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,31555
smith,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,55762
somervell,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58390
starr,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,57066
stephens,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,35809
sterling,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,38090
stonewall,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,17468
sutton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,37937
swisher,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23275
tarrant,Other / unknown,,,Tyler Technologies,,no,171336
taylor,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,65270
terrell,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,48029
terry,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23061
throckmorton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,18032
titus,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,29212
tom_green,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies,,no,34756
travis,Other / unknown,,,,,no,28596
trinity,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,59074
tyler,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42624
upshur,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies,,no,52288
upton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,49068
uvalde,Wix,Wix.com Website Builder,meta generator,,,yes,93501
val_verde,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,79181
van_zandt,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39474
victoria,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,71081
walker,Other / unknown,,,Google Translate,,no,27507
waller,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,34870
ward,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32662
washington,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36268
webb,Other / unknown,,,,,no,25416
wharton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,33539
wheeler,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,45306
wichita,WordPress,WordPress 7.0.4,meta generator,Tyler Technologies,,yes,36711
wilbarger,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,40307
willacy,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32649
williamson,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,61051
wilson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,51511
winkler,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,55602
wise,CivicPlus,government websites by civicplus® </span>,builder credit,,,no,59016
wood,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,32428
yoakum,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,40243
young,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,34123
zapata,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32561
zavala,Other / unknown,,,,,no,61720
