county,facts_stated,pages,fips,rucc,rucc_band,pop2020,platform,mentions_nov3,has_elections_page,unemp,med_income,pct_bach,pct_pov,land_sqmi,density,nov3
crosby,0,2,48107,2,Medium metro (250k-1M),5133,ezTask Titanium (TAC),no,yes,4.2,46457,14.134061269999998,23.2,900.1985124943296,5.7020756297154325,0
culberson,0,4,48109,9,"Nonmetro, rural",2188,ezTask Titanium (TAC),no,yes,3.2,52160,16.303671440000002,19.6,3812.1563249184182,0.573953377960392,0
dallam,0,2,48111,7,"Nonmetro, has an urban core",7115,Other / unknown,no,yes,2.6,61636,15.718835299999999,10.5,1503.1324155383866,4.73344858140896,0
dallas,2,5,48113,1,Large metro (1M+),2613539,Other / unknown,yes,yes,3.8,70871,34.84724558999999,14.4,873.1998588209735,2993.059347866703,1
dawson,1,4,48115,6,"Nonmetro, has an urban core",12456,ezTask Titanium (TAC),yes,yes,4.2,48801,14.4705736,21.3,900.305894454473,13.835297621312952,1
deaf_smith,0,2,48117,6,"Nonmetro, has an urban core",18583,ezTask Titanium (TAC),no,yes,3.1,55565,11.82096759,17.3,1496.8217634018406,12.414971811851697,0
delta,0,4,48119,8,"Nonmetro, rural",5230,Drupal,no,yes,4.5,54587,19.53624733,15.8,256.8323466164484,20.363478622926127,0
denton,3,5,48121,1,Large metro (1M+),906422,CivicPlus,yes,yes,3.5,102711,48.39235703000001,7.4,878.6981543324537,1031.5510457497298,1
dewitt,3,3,48123,6,"Nonmetro, has an urban core",19824,ezTask Titanium (TAC),yes,yes,3.3,55525,15.748373099999995,17.1,908.976360126997,21.80914803684257,1
dickens,2,2,48125,8,"Nonmetro, rural",1770,ezTask Titanium (TAC),yes,yes,5.1,47074,19.111483650000004,20.7,901.7240916986295,1.9629064103918408,1
dimmit,1,2,48127,7,"Nonmetro, has an urban core",8615,Revize,yes,yes,3.2,44312,11.04448743,25.7,1328.8848275832434,6.482879344530964,1
donley,0,2,48129,8,"Nonmetro, rural",3258,ezTask Titanium (TAC),no,yes,3.9,44866,16.146540029999997,16.9,927.0367681340438,3.514423712187555,0
duval,0,2,48131,9,"Nonmetro, rural",9831,ezTask Titanium (TAC),no,yes,4.4,40539,6.970345460000001,30,1793.4772171598888,5.481530462688651,0
eastland,3,2,48133,8,"Nonmetro, rural",17725,CivicPlus,yes,yes,4.6,53351,22.214010020000003,18.5,926.5080336604326,19.130972809779493,1
ector,0,2,48135,3,Small metro (<250k),165171,CivicPlus,no,yes,3.3,64868,16.6474625,16.6,897.8838590112292,183.9558628238291,0
edwards,0,4,48137,9,"Nonmetro, rural",1422,ezTask Titanium (TAC),no,yes,2.5,50752,25.92190889,20.1,2117.8719696902394,0.6714286889627148,0
el_paso,3,5,48141,2,Medium metro (250k-1M),865657,CivicPlus,yes,yes,4.4,53441,25.3611906,20.1,1013.4906727428954,854.1341556278948,1
ellis,0,5,48139,1,Large metro (1M+),192455,CivicPlus,no,yes,3.7,89314,28.60132225,8.8,935.7042758779306,205.67929949815377,0
erath,3,4,48143,5,"Nonmetro, has an urban core",42545,CivicPlus,yes,yes,3.5,60093,32.49512671000001,17.9,1083.178606561248,39.277917549596935,1
falls,0,2,48145,2,Medium metro (250k-1M),16968,ezTask Titanium (TAC),no,yes,4.1,47534,14.954347290000001,20.3,765.495060129832,22.16604767785456,0
fannin,3,2,48147,6,"Nonmetro, has an urban core",35662,ezTask Titanium (TAC),yes,yes,3.4,60959,20.166279969999998,14.3,890.8346119781994,40.03212214757628,1
fayette,1,3,48149,6,"Nonmetro, has an urban core",24435,ezTask Titanium (TAC),yes,yes,3.4,70476,27.157024790000005,11,949.9336662977963,25.722848728197228,1
fisher,0,2,48151,8,"Nonmetro, rural",3672,ezTask Titanium (TAC),no,yes,3.3,57867,18.22515585,15.3,898.9508847590811,4.084761539540724,0
floyd,1,2,48153,8,"Nonmetro, rural",5402,ezTask Titanium (TAC),yes,yes,4.3,45784,16.71316964,18.2,992.1425017661568,5.444782367838955,1
foard,1,2,48155,9,"Nonmetro, rural",1095,ezTask Titanium (TAC),yes,yes,3.3,47657,14.475627770000001,17.4,704.3965275191939,1.5545221437369487,1
fort_bend,0,5,48157,1,Large metro (1M+),822779,Drupal,no,yes,4,105583,49.29183763,7.2,861.7729824250043,954.7514447305178,0
franklin,4,4,48159,9,"Nonmetro, rural",10359,ezTask Titanium (TAC),yes,yes,3.8,56623,29.311969840000003,14.8,284.3912414717611,36.42517240119931,1
freestone,1,2,48161,9,"Nonmetro, rural",19435,ezTask Titanium (TAC),yes,yes,5.1,56372,15.88724717,15.8,877.7306186166237,22.142328850998922,1
frio,4,3,48163,6,"Nonmetro, has an urban core",18385,ezTask Titanium (TAC),yes,yes,3.3,46769,11.39195758,26.7,1133.5007646038962,16.2196626364206,1
gaines,0,2,48165,6,"Nonmetro, has an urban core",21598,ezTask Titanium (TAC),no,yes,2.9,62465,8.054943191,13.8,1502.3630618134382,14.376019052232273,0
galveston,0,5,48167,1,Large metro (1M+),350682,Granicus / Vision,yes,yes,4.3,75947,34.25825866,12.1,379.41104331942284,924.2798968947351,1
garza,0,5,48169,2,Medium metro (250k-1M),5816,ezTask Titanium (TAC),no,yes,3.4,50255,10.6189968,24.8,893.4161145627808,6.509844522836069,0
gillespie,4,3,48171,7,"Nonmetro, has an urban core",26725,CivicPlus,yes,yes,2.6,77013,35.33549784,8.8,1058.2022880406196,25.255095648568613,1
glasscock,0,2,48173,8,"Nonmetro, rural",1116,ezTask Titanium (TAC),no,yes,2.4,96533,39.871794869999995,8.5,900.2176361342447,1.2397002182631944,0
goliad,3,2,48175,3,Small metro (<250k),7012,ezTask Titanium (TAC),yes,yes,3.7,62841,18.980769229999993,14.7,852.011097456351,8.22993975188126,1
gonzales,4,2,48177,6,"Nonmetro, has an urban core",19653,ezTask Titanium (TAC),yes,yes,3.4,57523,12.642263919999998,16.1,1066.6863250580714,18.424347944021942,1
gray,4,4,48179,6,"Nonmetro, has an urban core",21227,ezTask Titanium (TAC),yes,yes,4.1,50648,15.399526170000001,17.7,925.9740111316573,22.923969511906627,1
grayson,2,5,48181,3,Small metro (<250k),135543,ezTask Titanium (TAC),yes,yes,3.7,66141,23.73325999,11.2,932.8322167471264,145.30265739818805,1
gregg,3,5,48183,2,Medium metro (250k-1M),124239,Other / unknown,yes,yes,4.2,60932,22.35810677,16.1,273.38046389718755,454.4545657319668,1
grimes,0,5,48185,6,"Nonmetro, has an urban core",29268,GovOffice,no,yes,4.4,61188,19.460849689999996,16.1,787.4661648543245,37.1673111890647,0
guadalupe,1,5,48187,1,Large metro (1M+),172706,Granicus / Vision,yes,yes,3.4,86043,30.9227787,9.5,711.2518381406778,242.8197591045672,1
hale,0,2,48189,4,"Nonmetro, has an urban core",32522,Revize,no,yes,4.9,49571,15.631884639999999,19.6,1004.6800651142759,32.37050393380785,0
hall,0,2,48191,9,"Nonmetro, rural",2825,ezTask Titanium (TAC),no,yes,4.3,40677,17.81888997,24.1,883.4919381154997,3.1975390811440376,0
hamilton,4,2,48193,8,"Nonmetro, rural",8222,ezTask Titanium (TAC),yes,yes,3.4,59753,24.27715997,14.8,835.9145490440109,9.83593360039378,1
hansford,1,2,48195,9,"Nonmetro, rural",5285,ezTask Titanium (TAC),no,yes,2.6,69064,30.39975209,11.7,919.8098774283562,5.745752605718944,0
hardeman,0,2,48197,9,"Nonmetro, rural",3549,ezTask Titanium (TAC),no,yes,4.8,49539,15.02611491,17.2,695.1141513155441,5.105636237276008,0
hardin,1,2,48199,2,Medium metro (250k-1M),56231,ezTask Titanium (TAC),no,yes,4.9,70432,20.76622806,9.7,890.5761277799843,63.14002615382455,0
harris,1,4,48201,1,Large metro (1M+),4731145,Other / unknown,yes,yes,4.3,68748,33.746549120000005,16.4,1707.0165820182087,2771.5870190354913,1
harrison,0,2,48203,2,Medium metro (250k-1M),68839,ezTask Titanium (TAC),no,yes,4.7,64636,22.501901970000002,15,900.0585794195017,76.48279964666092,0
hartley,1,2,48205,9,"Nonmetro, rural",5382,ezTask Titanium (TAC),yes,yes,2.1,84165,23.075,10.4,1461.950923010222,3.681382128011673,1
haskell,0,2,48207,8,"Nonmetro, rural",5416,ezTask Titanium (TAC),no,yes,3.8,48587,22.498080369999997,20.6,903.1330298269207,5.996901697901515,0
hays,1,5,48209,1,Large metro (1M+),241067,CivicPlus,yes,yes,3.3,89074,41.8774423,12.4,676.8519956641809,356.15910353259125,1
hemphill,4,4,48211,9,"Nonmetro, rural",3382,ezTask Titanium (TAC),yes,yes,3.5,73212,24.445450429999998,10.2,906.2860207493385,3.731713744413362,1
henderson,0,1,48213,4,"Nonmetro, has an urban core",82150,CivicPlus,no,no,4.1,62843,20.212119169999998,15.8,873.7730869351366,94.01754440406368,0
hidalgo,1,5,48215,2,Medium metro (250k-1M),870781,Other / unknown,yes,yes,6.1,48825,20.32666694,28.8,1571.194661198657,554.2158597558404,1
hill,1,2,48217,6,"Nonmetro, has an urban core",35874,ezTask Titanium (TAC),yes,yes,4,57566,18.452404669999996,13.9,958.8577396982722,37.41326634260534,1
hockley,1,2,48219,2,Medium metro (250k-1M),21537,ezTask Titanium (TAC),yes,yes,3.6,56923,18.313253010000004,16.4,908.3918022310921,23.708932585150137,1
hood,3,3,48221,4,"Nonmetro, has an urban core",61598,Revize,yes,yes,3.7,75545,32.406891529999996,10.2,420.73833226979565,146.40453525518254,1
hopkins,2,5,48223,6,"Nonmetro, has an urban core",36787,ezTask Titanium (TAC),yes,yes,3.5,64249,20.028549899999994,14.5,767.4310207547633,47.93525281766723,1
houston,1,2,48225,7,"Nonmetro, has an urban core",22066,ezTask Titanium (TAC),yes,yes,3.2,49741,15.52379784,19.8,1230.9972322614253,17.925304315642745,1
howard,2,4,48227,4,"Nonmetro, has an urban core",34860,CivicPlus,yes,yes,4.3,59598,15.34068444,16.9,900.7914511236888,38.69930154922544,1
hudspeth,0,3,48229,2,Medium metro (250k-1M),3202,ezTask Titanium (TAC),no,yes,3.8,39582,12.385740400000001,24,4570.5167592448915,0.7005772363755672,0
hunt,1,3,48231,1,Large metro (1M+),99956,ezTask Titanium (TAC),yes,yes,4.1,68019,21.893114760000003,13.8,840.4207681864609,118.9356614969124,1
hutchinson,0,2,48233,6,"Nonmetro, has an urban core",20617,ezTask Titanium (TAC),no,yes,4.3,65019,15.95403328,12.6,887.424389372969,23.23240182137369,0
irion,0,2,48235,3,Small metro (<250k),1513,CivicPlus,no,yes,3.3,77768,22.118088100000005,8.8,1051.543821566038,1.4388368501340503,0
jack,2,4,48237,8,"Nonmetro, rural",8472,Drupal,yes,yes,3.6,54132,15.562744760000001,16,910.9716229546707,9.299960379140767,1
jackson,0,3,48239,6,"Nonmetro, has an urban core",14988,ezTask Titanium (TAC),no,yes,3.3,61953,15.855314200000002,13.5,829.4426853565749,18.06996464566651,0
jasper,0,2,48241,6,"Nonmetro, has an urban core",32980,ezTask Titanium (TAC),no,yes,6.3,50763,12.553256910000002,23.8,938.6550268757798,35.13537887265214,0
jeff_davis,0,2,48243,9,"Nonmetro, rural",1996,ezTask Titanium (TAC),no,yes,3.2,58285,30.43478261,21.3,2264.5556619949116,0.8814091141578153,0
jefferson,0,5,48245,2,Medium metro (250k-1M),256526,Other / unknown,no,yes,6.3,55065,19.44985308,19.2,876.734572345199,292.5925452144681,0
jim_hogg,0,2,48247,8,"Nonmetro, rural",4838,ezTask Titanium (TAC),no,yes,4.7,43782,18.95261845,23.2,1136.173064902603,4.258154104731158,0
jim_wells,1,2,48249,6,"Nonmetro, has an urban core",38891,ezTask Titanium (TAC),yes,yes,5.2,48252,15.177270519999999,21.4,865.1759308655668,44.95155102279767,1
johnson,0,5,48251,1,Large metro (1M+),179927,Granicus / Vision,no,yes,3.6,76747,23.54165486,9.8,725.0502462731383,248.15797377471483,0
jones,0,2,48253,3,Small metro (<250k),19663,ezTask Titanium (TAC),no,yes,4.6,51894,11.222349999999999,19.7,928.6053382692943,21.174765198579717,0
karnes,3,2,48255,8,"Nonmetro, rural",14710,ezTask Titanium (TAC),yes,yes,3.1,61860,16.015625,22.1,747.7523435426119,19.67228872905796,1
kaufman,3,5,48257,1,Large metro (1M+),145310,CivicPlus,yes,yes,4.1,92814,25.2972109,8.9,780.6915472673734,186.1298492453561,1
kendall,3,5,48259,1,Large metro (1M+),44279,CivicPlus,yes,yes,3.3,120238,49.11984271,6.8,662.4538569792894,66.84088187199477,1
kenedy,1,5,48261,9,"Nonmetro, rural",350,ezTask Titanium (TAC),no,yes,7.1,43274,10.638297869999999,14.2,1458.5618476063198,0.23996239897155766,0
kent,0,2,48263,9,"Nonmetro, rural",753,ezTask Titanium (TAC),yes,yes,2.1,58118,26.902654869999996,11.5,902.5068578403628,0.8343426905385267,1
kerr,3,3,48265,4,"Nonmetro, has an urban core",52598,Other / unknown,yes,yes,3.5,59619,31.213207060000002,12.4,1103.3323234059171,47.6719469594014,1
kimble,4,2,48267,9,"Nonmetro, rural",4286,ezTask Titanium (TAC),yes,yes,3.4,51851,25.64712883,15.6,1250.9802749635016,3.4261131736270163,1
king,0,1,48269,9,"Nonmetro, rural",265,ezTask Titanium (TAC),no,no,1,87856,36.36363636,11.6,910.87312713570725,0.2909296499209585,0
kinney,0,3,48271,9,"Nonmetro, rural",3129,ezTask Titanium (TAC),no,yes,4.6,52609,19.52175617,19,1360.5333690122616,2.299833338355849,0
kleberg,1,2,48273,4,"Nonmetro, has an urban core",31040,ezTask Titanium (TAC),yes,yes,4.6,51342,23.72529815,24.6,881.3061477722383,35.22045100724961,1
knox,0,2,48275,9,"Nonmetro, rural",3353,ezTask Titanium (TAC),no,yes,3.5,47207,15.597920279999999,17.1,850.6211300715199,3.941825427870668,0
la_salle,2,5,48283,8,"Nonmetro, rural",6664,Joomla,yes,yes,2.6,40555,8.096085409,28.6,1486.7040246760052,4.482398573887142,1
lamar,0,3,48277,5,"Nonmetro, has an urban core",50088,CivicPlus,no,yes,4.3,62620,20.583010569999995,17,907.3310556626456,55.203665395779424,0
lamb,0,2,48279,6,"Nonmetro, has an urban core",13045,ezTask Titanium (TAC),no,yes,4.1,53008,14.25040168,19.1,1016.1813403073886,12.837275673704033,0
lampasas,1,2,48281,2,Medium metro (250k-1M),21627,ezTask Titanium (TAC),yes,yes,3.8,67917,21.639887780000006,12.2,712.5283853137071,30.352474997158485,1
lavaca,1,3,48285,8,"Nonmetro, rural",20337,ezTask Titanium (TAC),no,yes,3.3,58400,20.90181205,12.4,969.7091678926665,20.972267431683214,0
lee,1,4,48287,8,"Nonmetro, rural",17478,ezTask Titanium (TAC),no,yes,3.2,65911,18.700412569999994,12.8,629.0394738530287,27.785219730238474,0
leon,1,2,48289,8,"Nonmetro, rural",15719,ezTask Titanium (TAC),yes,yes,4.7,56749,17.053649959999998,16.3,1073.1562879645808,14.647447139142889,1
liberty,2,5,48291,1,Large metro (1M+),91628,ezTask Titanium (TAC),yes,yes,5.5,61880,11.23758859,15.6,1158.3533717457876,79.10194094044446,1
limestone,4,2,48293,6,"Nonmetro, has an urban core",22146,ezTask Titanium (TAC),yes,yes,4.2,51357,19.12691269,16.8,905.4300948122885,24.459094221505033,1
lipscomb,1,2,48295,9,"Nonmetro, rural",3059,ezTask Titanium (TAC),yes,yes,3.2,70236,25.40453074,13.3,932.2137949891979,3.281436100219313,1
live_oak,0,2,48297,8,"Nonmetro, rural",11335,ezTask Titanium (TAC),no,no,3.8,58576,13.841163039999998,17.7,1039.6946992162061,10.9022389058491,0
llano,4,3,48299,7,"Nonmetro, has an urban core",21243,ezTask Titanium (TAC),yes,yes,3.6,59528,33.058702370000006,12.1,934.065252137393,22.74252248586519,1
loving,3,2,48301,9,"Nonmetro, rural",64,ezTask Titanium (TAC),yes,yes,0.3,94716,0,5.3,668.8177626421614,0.09569123844314228,1
lubbock,3,5,48303,2,Medium metro (250k-1M),310639,Other / unknown,yes,yes,3.3,59138,33.32450514000001,16.1,895.6016929359572,346.8495006766509,1
lynn,1,2,48305,2,Medium metro (250k-1M),5596,ezTask Titanium (TAC),no,yes,3.3,56754,24.29881338,16.8,891.8669696132312,6.274478359061523,0
madison,0,2,48313,8,"Nonmetro, rural",13455,ezTask Titanium (TAC),no,yes,4.6,53906,14.53272051,17.5,466.06525077831344,28.869348181463,0
marion,1,4,48315,8,"Nonmetro, rural",9725,ezTask Titanium (TAC),no,yes,4.8,47720,15.994926719999999,23,380.90148529678004,25.531536041196453,0
martin,0,2,48317,3,Small metro (<250k),5237,CivicPlus,no,yes,2.7,73315,17.78816199,13.3,914.9557794688101,5.723773888876259,0
mason,4,2,48319,9,"Nonmetro, rural",3953,ezTask Titanium (TAC),yes,yes,3.5,59129,40.12944984000001,11.8,928.8359636523583,4.25586449565977,1
matagorda,0,2,48321,6,"Nonmetro, has an urban core",36255,ezTask Titanium (TAC),no,yes,5.4,58380,22.76956305,22.9,1093.1223877317336,33.16646004774485,0
maverick,0,2,48323,3,Small metro (<250k),57887,Other / unknown,yes,yes,7.5,43407,15.327175669999999,20.5,1279.4762173637932,45.242732310624106,1
mcculloch,1,4,48307,9,"Nonmetro, rural",7630,ezTask Titanium (TAC),yes,yes,4.1,45915,19.60200855,17.3,1065.6008501907756,7.160279572444028,1
mclennan,1,5,48309,2,Medium metro (250k-1M),260579,CivicPlus,yes,yes,3.7,63160,27.771644269999996,14.7,1036.6902197863758,251.3566685848506,1
mcmullen,0,2,48311,8,"Nonmetro, rural",600,WordPress,no,yes,1.7,67525,14.97175141,12.1,1139.7992738275543,0.5264084771568094,0
medina,2,2,48325,1,Large metro (1M+),50748,ezTask Titanium (TAC),yes,yes,3.8,70313,22.15802317,14.2,1325.3606666171145,38.289954786066296,1
menard,1,2,48327,9,"Nonmetro, rural",1962,ezTask Titanium (TAC),no,yes,3.7,44145,22.902338379999996,19.4,902.0265270638637,2.175102329181379,0
midland,3,5,48329,3,Small metro (<250k),169983,Other / unknown,yes,yes,2.5,81187,30.943329579999993,10.5,900.3575533788841,188.79499523504145,1
milam,1,4,48331,6,"Nonmetro, has an urban core",24754,Revize,no,yes,4.2,54667,19.516813960000004,14.6,1016.3557986372379,24.355643991199685,0
mills,0,2,48333,9,"Nonmetro, rural",4456,ezTask Titanium (TAC),no,yes,3.9,58068,28.08695652,13.7,748.2245924287274,5.955431089929671,0
mitchell,0,2,48335,7,"Nonmetro, has an urban core",8990,ezTask Titanium (TAC),no,yes,4,48378,13.91947412,19.2,911.0931563311309,9.86726761970391,0
montague,2,5,48337,6,"Nonmetro, has an urban core",19965,ezTask Titanium (TAC),yes,yes,3.5,57076,17.84057068,14.1,930.905667748413,21.446856208631175,1
montgomery,3,4,48339,1,Large metro (1M+),620443,Revize,yes,yes,3.9,95241,37.89510465,10.5,1042.11002536224,595.3718752339346,1
moore,1,2,48341,7,"Nonmetro, has an urban core",21358,ezTask Titanium (TAC),yes,yes,2.7,66583,12.04559949,11.9,899.6980264129476,23.739076193323786,1
morris,0,2,48343,8,"Nonmetro, rural",11973,ezTask Titanium (TAC),no,yes,5.9,49847,15.537751879999998,18.5,251.98919658360904,47.51394171784426,0
motley,0,2,48345,8,"Nonmetro, rural",1063,ezTask Titanium (TAC),no,yes,4,46320,22.03567681,16.9,989.5658941847421,1.0742084041566093,0
