county,platform,evidence,evidence_kind,services,note,has_generator,html_bytes,county_name,fips,pop2020,rucc,rucc_band
frio,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,43218,Frio,48163,18385,6,"Nonmetro, has an urban core"
gaines,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,33320,Gaines,48165,21598,6,"Nonmetro, has an urban core"
galveston,Granicus / Vision,"<a href=""//www.granicus.com/"">",builder credit,Granicus services,,no,53591,Galveston,48167,350682,1,Large metro (1M+)
garza,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,33805,Garza,48169,5816,2,Medium metro (250k-1M)
gillespie,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,58358,Gillespie,48171,26725,7,"Nonmetro, has an urban core"
glasscock,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,43248,Glasscock,48173,1116,8,"Nonmetro, rural"
goliad,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,56885,Goliad,48175,7012,3,Small metro (<250k)
gonzales,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,39886,Gonzales,48177,19653,6,"Nonmetro, has an urban core"
gray,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20829,Gray,48179,21227,6,"Nonmetro, has an urban core"
grayson,ezTask Titanium (TAC),"m/store/apps/details?id=com.eztask.grayson.co.tx&amp;pli=1"" id",builder credit,Google Translate,,no,42533,Grayson,48181,135543,3,Small metro (<250k)
gregg,Other / unknown,,,Tyler Technologies; Google Translate,,no,132682,Gregg,48183,124239,2,Medium metro (250k-1M)
grimes,GovOffice,/vertical/sites/%7b958238d0-27e6-4f6c-919e-f1d98542c5fd%7d/uploads/new,same-host path,,,no,79946,Grimes,48185,29268,6,"Nonmetro, has an urban core"
guadalupe,Granicus / Vision,"=""black"" href=""../commcourt/granicus.php"" target=""_blank"">",builder credit,Tyler Technologies,,no,16198,Guadalupe,48187,172706,1,Large metro (1M+)
hale,Revize,aspx?src=https%3a%2f%2fcms2.revize.com%2frevize%2fhalecountyne,builder credit,Tyler Technologies,,no,26964,Hale,48189,32522,4,"Nonmetro, has an urban core"
hall,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,18651,Hall,48191,2825,9,"Nonmetro, rural"
hamilton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36869,Hamilton,48193,8222,8,"Nonmetro, rural"
hansford,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23570,Hansford,48195,5285,9,"Nonmetro, rural"
hardeman,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23261,Hardeman,48197,3549,9,"Nonmetro, rural"
hardin,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,44117,Hardin,48199,56231,2,Medium metro (250k-1M)
harris,Other / unknown,,,,,no,142090,Harris,48201,4731145,1,Large metro (1M+)
harrison,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52737,Harrison,48203,68839,2,Medium metro (250k-1M)
hartley,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,27172,Hartley,48205,5382,9,"Nonmetro, rural"
haskell,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20263,Haskell,48207,5416,8,"Nonmetro, rural"
hays,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,78398,Hays,48209,241067,1,Large metro (1M+)
hemphill,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,25050,Hemphill,48211,3382,9,"Nonmetro, rural"
henderson,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,75294,Henderson,48213,82150,4,"Nonmetro, has an urban core"
hidalgo,Other / unknown,,,Google Translate,,no,67140,Hidalgo,48215,870781,2,Medium metro (250k-1M)
hill,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,64670,Hill,48217,35874,6,"Nonmetro, has an urban core"
hockley,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52957,Hockley,48219,21537,2,Medium metro (250k-1M)
hood,Revize,"<meta content=""//cms3.revize.com/revize/hoodcounty/_asse",builder credit,,,no,42349,Hood,48221,61598,4,"Nonmetro, has an urban core"
hopkins,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,31105,Hopkins,48223,36787,6,"Nonmetro, has an urban core"
houston,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42814,Houston,48225,22066,7,"Nonmetro, has an urban core"
howard,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,51319,Howard,48227,34860,4,"Nonmetro, has an urban core"
hudspeth,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,49556,Hudspeth,48229,3202,2,Medium metro (250k-1M)
hunt,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Tyler Technologies; Google Translate,,no,57758,Hunt,48231,99956,1,Large metro (1M+)
hutchinson,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,34481,Hutchinson,48233,20617,6,"Nonmetro, has an urban core"
irion,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,51916,Irion,48235,1513,3,Small metro (<250k)
jack,Drupal,Drupal 11 (https://www.drupal.org),meta generator,Google Translate,,yes,50359,Jack,48237,8472,8,"Nonmetro, rural"
jackson,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52925,Jackson,48239,14988,6,"Nonmetro, has an urban core"
jasper,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36084,Jasper,48241,32980,6,"Nonmetro, has an urban core"
jeff_davis,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,28596,Jeff Davis,48243,1996,9,"Nonmetro, rural"
jefferson,Other / unknown,,,Tyler Technologies,,no,31929,Jefferson,48245,256526,2,Medium metro (250k-1M)
jim_hogg,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,36056,Jim Hogg,48247,4838,8,"Nonmetro, rural"
jim_wells,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,70768,Jim Wells,48249,38891,6,"Nonmetro, has an urban core"
johnson,Granicus / Vision,"<a href=""https://granicus.com/government-website-desi",builder credit,Granicus services,,no,82206,Johnson,48251,179927,1,Large metro (1M+)
jones,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,ENR / results portal,,no,27276,Jones,48253,19663,3,Small metro (<250k)
karnes,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,Tyler Technologies,,no,46523,Karnes,48255,14710,8,"Nonmetro, rural"
kaufman,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,Tyler Technologies,,no,72714,Kaufman,48257,145310,1,Large metro (1M+)
kendall,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,54884,Kendall,48259,44279,1,Large metro (1M+)
kenedy,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21469,Kenedy,48261,350,9,"Nonmetro, rural"
kent,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21105,Kent,48263,753,9,"Nonmetro, rural"
kerr,Other / unknown,,,,,no,51897,Kerr,48265,52598,4,"Nonmetro, has an urban core"
kimble,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,46232,Kimble,48267,4286,9,"Nonmetro, rural"
king,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,83401,King,48269,265,9,"Nonmetro, rural"
kinney,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,43527,Kinney,48271,3129,9,"Nonmetro, rural"
kleberg,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,42968,Kleberg,48273,31040,4,"Nonmetro, has an urban core"
knox,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21069,Knox,48275,3353,9,"Nonmetro, rural"
la_salle,Joomla,option=com_content&view=article&id=269,same-host path,,,no,94666,La Salle,48283,6664,8,"Nonmetro, rural"
lamar,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,54742,Lamar,48277,50088,5,"Nonmetro, has an urban core"
lamb,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,24832,Lamb,48279,13045,6,"Nonmetro, has an urban core"
lampasas,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,30117,Lampasas,48281,21627,2,Medium metro (250k-1M)
lavaca,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,32341,Lavaca,48285,20337,8,"Nonmetro, rural"
lee,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,31048,Lee,48287,17478,8,"Nonmetro, rural"
leon,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,56306,Leon,48289,15719,8,"Nonmetro, rural"
liberty,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,77421,Liberty,48291,91628,1,Large metro (1M+)
limestone,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,38269,Limestone,48293,22146,6,"Nonmetro, has an urban core"
lipscomb,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,23911,Lipscomb,48295,3059,9,"Nonmetro, rural"
live_oak,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,80967,Live Oak,48297,11335,8,"Nonmetro, rural"
llano,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,42022,Llano,48299,21243,7,"Nonmetro, has an urban core"
loving,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,18634,Loving,48301,64,9,"Nonmetro, rural"
lubbock,Other / unknown,,,,,no,12706,Lubbock,48303,310639,2,Medium metro (250k-1M)
lynn,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,29346,Lynn,48305,5596,2,Medium metro (250k-1M)
madison,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,32338,Madison,48313,13455,8,"Nonmetro, rural"
marion,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,41667,Marion,48315,9725,8,"Nonmetro, rural"
martin,CivicPlus,powered by civicplus®,builder credit,Google Translate,,no,63810,Martin,48317,5237,3,Small metro (<250k)
mason,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,34133,Mason,48319,3953,9,"Nonmetro, rural"
matagorda,ezTask Titanium (TAC),tf-8&amp;u=http%3a%2f%2fwww.eztask.com%2f&amp;edit-text=&amp;a,builder credit,Google Translate,,no,59678,Matagorda,48321,36255,6,"Nonmetro, has an urban core"
maverick,Other / unknown,,,,,no,74823,Maverick,48323,57887,3,Small metro (<250k)
mcculloch,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,69428,McCulloch,48307,7630,9,"Nonmetro, rural"
mclennan,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,102779,McLennan,48309,260579,2,Medium metro (250k-1M)
mcmullen,WordPress,https://mcmullencounty.org/wp-content/uploads/2023/09/microsoftteams-i,same-host path,,,yes,209829,McMullen,48311,600,8,"Nonmetro, rural"
medina,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,52988,Medina,48325,50748,1,Large metro (1M+)
menard,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,21990,Menard,48327,1962,9,"Nonmetro, rural"
midland,Other / unknown,,,,,no,89697,Midland,48329,169983,3,Small metro (<250k)
milam,Revize,"<meta content=""//cms2.revize.com/revize//milamcountytx/_",builder credit,,,no,64315,Milam,48331,24754,6,"Nonmetro, has an urban core"
mills,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,48729,Mills,48333,4456,9,"Nonmetro, rural"
mitchell,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,36330,Mitchell,48335,8990,7,"Nonmetro, has an urban core"
montague,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,Tyler Technologies; ENR / results portal,,no,42988,Montague,48337,19965,6,"Nonmetro, has an urban core"
montgomery,Revize,"pan class=""v06-11-2011"" id=""revize-login"">",builder credit,Google Translate,,no,70204,Montgomery,48339,620443,1,Large metro (1M+)
moore,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,Google Translate,,no,25487,Moore,48341,21358,7,"Nonmetro, has an urban core"
morris,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,43871,Morris,48343,11973,8,"Nonmetro, rural"
motley,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,19767,Motley,48345,1063,8,"Nonmetro, rural"
nacogdoches,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,18606,Nacogdoches,48347,64653,5,"Nonmetro, has an urban core"
navarro,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,Google Translate,,no,55166,Navarro,48349,52624,4,"Nonmetro, has an urban core"
newton,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,71393,Newton,48351,12217,8,"Nonmetro, rural"
nolan,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,20900,Nolan,48353,14738,6,"Nonmetro, has an urban core"
nueces,Granicus / Vision,"<a href=""https://granicus.com/government-website-desi",builder credit,Granicus services,,no,100452,Nueces,48355,353178,2,Medium metro (250k-1M)
ochiltree,ezTask Titanium (TAC),"<img alt=""provided by the texas association of counties"" src=""/upload/",builder credit,,,no,17133,Ochiltree,48357,10015,7,"Nonmetro, has an urban core"
oldham,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,43585,Oldham,48359,1758,2,Medium metro (250k-1M)
orange,EvoGov,Evo Cloud - www.evo.cloud,meta generator,,,yes,40318,Orange,48361,84808,2,Medium metro (250k-1M)
palo_pinto,ezTask Titanium (TAC),"<span class=""eztask"">",builder credit,ENR / results portal; Google Translate,,no,29497,Palo Pinto,48363,28409,6,"Nonmetro, has an urban core"
panola,CivicPlus,"<a href=""https://connect.civicplus.com/referral"">",builder credit,,,no,50774,Panola,48365,22491,6,"Nonmetro, has an urban core"
